"id","y_2014","y_2015","y_2016","y_2017","y_2018","y_2019","y_2021"
422,0.61,0.75,0.82,0.84,0.94,0.99,0.98
423,0.58,0.59,0.69,0.76,0.56,0.64,0.78
424,0.11,0.16,0.22,0.24,0.12,0.15,0.17
425,0.43,0.44,0.41,0.39,0.22,0.27,0.24
426,0.66,0.61,0.73,0.78,0.51,0.45,0.51
428,0.45,0.48,0.49,0.39,0.34,0.4,0.11
430,0.81,0.73,1.11,1.12,1.17,1.23,1.17
431,0.64,0.52,0.62,0.56,0.47,0.48,0.43
432,0.78,0.79,0.88,0.73,0.83,0.7,0.64
433,0.36,0.33,0.3,0.28,0.21,0.21,0.17
434,0.41,0.34,0.29,0.37,0.47,0.37,0.29
435,0.13,0.12,0.1,0.11,0.11,,0.05
436,0.56,0.53,0.51,0.48,0.46,0.38,0.35
437,0.48,0.36,0.33,0.51,0.7,0.66,0.69
438,0.45,0.55,0.47,0.52,0.75,0.87,0.88
442,0.9,0.92,0.86,0.81,1.06,0.91,0.65
443,0.36,0.43,0.51,0.51,0.42,0.49,0.43
444,0.69,0.8,1.04,0.95,0.92,0.8,0.63
445,0.95,0.87,0.71,0.66,0.49,0.43,0.52
446,0.5,0.47,0.41,0.35,0.33,0.3,0.35
447,0.52,0.63,0.69,0.68,0.75,0.78,1.08
448,0.68,0.58,0.77,0.85,0.69,0.75,0.94
449,0.22,0.22,0.33,0.31,0.23,0.28,0.21
450,0.74,0.95,0.89,0.89,0.65,0.63,0.84
451,1.29,1.29,1.12,1.5,1.11,1.24,1.86
452,0.31,0.3,0.27,0.22,0.22,0.21,0.25
453,0.43,0.43,0.38,0.53,0.57,0.46,0.5
454,0.53,0.56,0.51,0.51,0.27,0.28,0.23
455,0.66,0.57,0.48,0.38,0.38,0.4,0.43
456,,,,,,,0.05
457,0.44,0.36,0.42,0.43,0.34,0.34,0.36
458,0.35,0.43,0.57,0.58,0.42,0.43,0.41
459,1.15,1.04,0.98,0.94,0.89,1.07,0.84
460,1.09,1.31,1.24,1.18,1.16,1.13,1.03
462,0.5,0.61,0.52,0.44,0.49,0.55,0.57
463,0.48,0.57,0.64,0.67,0.53,0.58,0.52
464,1,1.14,1.11,1.26,1.07,1.02,0.9
465,0.4,0.4,0.46,0.51,0.5,0.46,0.44
466,0.77,0.73,0.75,0.77,0.75,0.85,0.81
467,0.77,0.82,0.92,0.97,0.65,0.81,0.74
468,0.05,,0.05,,,,
469,0.65,0.54,0.59,0.6,0.4,0.41,0.35
470,0.36,0.35,0.42,0.48,0.4,0.44,0.38
471,0.78,0.72,0.78,0.72,0.58,0.58,0.65
472,0.21,0.21,0.28,0.22,,0.22,0.33
473,0.47,0.51,0.5,0.37,0.26,0.36,0.32
474,0.51,0.46,0.43,0.4,0.41,0.45,0.38
475,0.4,0.46,0.53,0.59,0.49,0.5,0.52
476,0.55,0.74,0.59,0.69,0.79,0.7,0.73
